,Unnamed: 0,id,bedroom,bathroom,building_area,land_area,price,latitude,longitude,log_price
672,3797,126453,3,2,100,220,1700000000,-7.3212848,112.7872684,21.253894088596816
673,3808,248900,3,3,100,67,1300000000,-7.3172167,112.7787233,20.985630102183134
674,3817,811311,3,2,100,120,1100000000,-7.3128384,112.6686473,20.818576017659826
675,3827,975285,3,2,100,144,2300000000,-7.297809,112.6555602,21.556174960316298
676,3888,903672,3,2,100,70,1350000000,-7.3149941,112.7840996,21.02337043013749
677,3893,705228,1,1,100,115,2700000000,-7.2926604,112.7228474,21.716517610327063
678,3905,983093,3,1,100,81,1300000000,-7.2958368,112.7801368,20.985630102183134
679,3906,28897,3,2,100,70,500000000,-7.30905439999999,112.7192659,20.030118658386463
680,3907,767174,3,1,100,84,1200000000,-7.2537636,112.7798262,20.905587394573697
681,3915,982636,4,2,100,100,1500000000,-7.3415464,112.7388678,21.12873094572124
682,3945,261647,3,2,100,59,1075000000,-7.3258892,112.7893092,20.79558649945627
683,3980,359865,4,2,100,75,950000000,-7.2278302,112.7821854,20.671972543611492
684,4001,718045,3,3,101,72,2400000000,-7.28811679999999,112.81656,21.59873457471698
685,4007,564817,3,1,102,105,950000000,-7.3374894,112.7836282,20.671972543611492
686,4054,875396,5,2,103,80,1000000000,-7.338966,112.8018779,20.72326583794641
687,4078,543643,5,2,103,80,895000000,-7.3365634,112.8028271,20.612334277356446
688,4088,800386,3,2,103,135,2200000000,-7.2820723,112.6927985,21.511723197765225
689,4089,619324,5,3,103,300,2568900000,-7.290504,112.7557605,21.6667436290538
690,4113,921260,3,2,104,148,1700000000,-7.3207651,112.7893149,21.253894088596816
691,4132,141040,3,2,105,78,1690000000,-7.27995639999999,112.6865899,21.247994366473108
692,4137,192293,3,2,105,106,1100000000,-7.3337645,112.7973173,20.818576017659826
693,4145,979522,3,2,105,105,1300000000,-7.327162,112.69739,20.985630102183134
694,4155,496164,4,4,105,120,1900000000,-7.33084319999999,112.7241509,21.365119723645122
695,4163,35449,2,2,105,91,1800000000,-7.27032159999999,112.8035357,21.311052502404085
696,4167,669514,2,2,105,91,1800000000,-7.31314749999999,112.7064629,21.311052502404085
697,4189,822820,2,2,105,189,2900000000,-7.316044,112.718192,21.787976574283665
698,4194,545324,3,2,105,105,1750000000,-7.3198638,112.7904701,21.28288162545326
699,4199,698034,3,3,105,78,1545000000,-7.2804953,112.7417118,21.158289747943368
700,4203,496157,3,3,105,84,1850000000,-7.2653394,112.6856076,21.338451476577184
701,4220,194462,3,3,105,75,1600000000,-7.3264665,112.7402016,21.193269466817146
702,4238,225323,3,2,105,105,1300000000,-7.3271704,112.6972032,20.985630102183134
703,4242,286463,4,1,106,135,1600000000,-7.3412044,112.7161255,21.193269466817146
704,4244,141944,2,1,106,128,1625000000,-7.2563681,112.7931673,21.208773653343496
705,4245,731759,4,4,106,120,2350000000,-7.2907986,112.676013,21.57768116552801
706,4246,63317,3,3,106,102,1375200000,-7.22900259999999,112.7753308,21.04186501276008
707,4303,643213,3,2,108,60,965000000,-7.3084853,112.67236,20.68763866033953
708,4312,37494,4,3,108,91,1650000000,-7.2739866,112.7691649,21.22404112546496
709,4316,335384,3,3,108,60,965000000,-7.3041541,112.6525245,20.68763866033953
710,4318,637485,5,3,108,300,2569000000,-7.2901709,112.7521826,21.666782555463413
711,4324,312659,4,4,108,273,3700000000,-7.2913882,112.7175366,22.03159865686686
712,4328,63505,3,3,108,80,2800000000,-7.3371862,112.7756195,21.75288525448471
713,4331,303177,3,2,108,203,2200000000,-7.3203931,112.7219116,21.511723197765225
714,4337,161967,3,3,108,129,2900000000,-7.3391112,112.7680404,21.787976574283665
715,4351,722577,3,1,108,84,1500000000,-7.2644207,112.6806491,21.12873094572124
716,4380,777916,3,2,109,115,1500000015,-7.2971743,112.7789787,21.12873095572124
717,4388,288393,3,3,110,70,1700000000,-7.2826822,112.7777795,21.253894088596816
718,4397,741317,3,2,110,72,1900000000,-7.3103162,112.7516972,21.365119723645122
719,4404,622102,3,2,110,55,800000000,-7.224824,112.7755092,20.5001222868822
720,4415,788489,3,2,110,200,2000000000,-7.309702,112.789401,21.416413018006356
721,4433,699571,3,2,110,102,2500000000,-7.2995551,112.7072405,21.639556569220566
723,4444,26090,3,2,110,171,2500000000,-7.2963203,112.6297871,21.639556569220566
724,4466,150607,3,3,110,100,1700000000,-7.3215765,112.7870664,21.253894088596816
725,4474,11248,3,3,110,82,975000000,-7.2332228,112.7815741,20.69794802998776
726,4475,650021,3,2,110,110,3100000000,-7.26356709999999,112.7345789,21.854667948760092
727,4506,682795,3,2,110,150,2300000000,-7.29023979999999,112.6545639,21.556174960316298
728,4517,600393,3,3,110,63,1200000000,-7.2524795,112.7712686,20.905587394573697
729,4528,894875,3,3,110,100,1350000000,-7.282356,112.7949253,21.02337043013749
730,4538,245067,6,1,110,106,850000000,-7.3034458,112.6705194,20.560746908625106
731,4541,475943,4,4,110,84,1550000000,-7.2657597,112.7745428,21.161520768522728
732,4567,331132,3,2,110,72,1500000000,-7.3304695,112.7201251,21.12873094572124
734,4578,319981,3,2,110,88,1480000000,-7.3124176,112.7587763,21.11530792539811
735,4588,987302,3,2,110,144,950000000,-7.3052349,112.8081741,20.671972543611492
736,4614,635412,3,3,110,63,1200000000,-7.2424164,112.7800437,20.905587394573697
737,4616,864502,2,1,110,150,1050000000,-7.3131267,112.7953539,20.772056002068222
738,4624,263958,3,3,110,63,1200000000,-7.2108865,112.6109257,20.905587394573697
739,4625,865673,4,4,110,110,1575000000,-7.3220309,112.7609054,21.177521109858926
740,4647,918926,4,3,110,155,2100000000,-7.3372978,112.7508568,21.465203182151978
741,4662,82830,2,2,110,108,2200000000,-7.2799704,112.6594418,21.511723197765225
742,4688,983025,3,3,110,63,1200000000,-7.2312167,112.7397929,20.905587394573697
743,4694,396875,2,2,110,121,1500000000,-7.3343791,112.7434868,21.12873094572124
744,4724,355401,3,3,110,93,2000000000,-7.2864019,112.7682502,21.416413018006356
745,4740,299108,3,3,110,72,1650000000,-7.2734133,112.7975781,21.22404112546496
746,4766,598080,3,3,110,66,1649999999,-7.2317632,112.7931525,21.2240411248589
